counter,shot_type,made,attempts,percentage
1200,turnaround bank,10,10,1.0
1200,floating jump,26,45,0.5777777777777777
1200,jump bank hook,0,1,0.0
1200,driving bank hook,1,1,1.0
1200,step back jump,10,15,0.6666666666666666
1200,finger roll layup,20,29,0.6896551724137931
1200,driving finger roll layup,29,33,0.8787878787878788
1200,driving slam dunk,8,8,1.0
1200,pullup jump,21,37,0.5675675675675675
1200,fade away bank,5,5,1.0
1200,running bank hook,1,1,1.0
1200,putback slam dunk,8,8,1.0
1200,running bank,16,17,0.9411764705882353
1200,running finger roll layup,1,2,0.5
1200,reverse slam dunk,2,2,1.0
1200,driving bank,1,2,0.5
1200,pullup bank,2,2,1.0
1200,turnaround bank hook,1,1,1.0
1300,hook,1908,4166,0.45799327892462793
1300,jump bank,1488,2119,0.7022180273714016
1300,jump,33055,95105,0.3475632195993901
1300,turnaround jump,2177,4013,0.5424869175180663
1300,running dunk,167,173,0.9653179190751445
1300,driving layup,8477,11225,0.7551893095768374
1300,running jump,2596,4419,0.5874632269744287
1300,follow up dunk,488,538,0.9070631970260223
1300,dunk,3673,4226,0.8691433980123048
1300,fade away,766,1226,0.6247960848287113
1300,reverse layup,1994,2911,0.6849879766403297
1300,layup,16145,34436,0.4688407480543617
1300,driving dunk,987,1045,0.9444976076555024
1300,tip,1833,3683,0.4976920988324735
1300,driving finger roll,599,785,0.7630573248407644
1300,slam dunk,2377,2420,0.9822314049586777
1300,turnaround hook,330,559,0.590339892665474
1300,alley oop layup,227,310,0.7322580645161291
1300,running hook,337,564,0.5975177304964538
1300,alley oop dunk,896,993,0.9023162134944612
1300,running layup,572,883,0.6477916194790487
1300,jump hook,918,1489,0.6165211551376762
1300,tip-in,11,71,0.15492957746478872
1300,turnaround finger roll,20,23,0.8695652173913043
1300,hook bank,73,86,0.8488372093023255
1300,reverse dunk,200,213,0.9389671361502347
1300,3pt,10064,25969,0.3875389887943317
1300,fade away jumper,929,1569,0.5920968769917144
1300,driving hook,128,225,0.5688888888888889
1300,finger roll,259,377,0.6870026525198939
1300,running finger roll,40,51,0.7843137254901961
1300,running finger,37,52,0.7115384615384616
1300,alley oop layup shot,187,258,0.7248062015503876
1300,running tip-in,3,3,1.0
1300,de souza jump,1,1,1.0
1300,de souza driving layup,1,1,1.0
1300,running tip,5,6,0.8333333333333334
1300,running 3pt,5,5,1.0
1300,driving reverse layup,55,71,0.7746478873239436
1300,running reverse layup,8,11,0.7272727272727273
1300,putback dunk,53,60,0.8833333333333333
1300,driving jump,21,26,0.8076923076923077
1300,turnaround fade away,55,90,0.6111111111111112
1300,putback layup,65,76,0.8552631578947368
1300,running slam dunk,12,12,1.0
1300,turnaround bank,31,33,0.9393939393939394
1300,floating jump,83,113,0.7345132743362832
1300,jump bank hook,3,4,0.75
1300,driving bank hook,3,4,0.75
1300,step back jump,22,34,0.6470588235294118
1300,finger roll layup,61,79,0.7721518987341772
1300,driving finger roll layup,89,106,0.839622641509434
1300,driving slam dunk,30,30,1.0
1300,pullup jump,76,124,0.6129032258064516
1300,fade away bank,11,11,1.0
1300,running bank hook,1,2,0.5
1300,putback slam dunk,14,14,1.0
1300,running bank,45,53,0.8490566037735849
1300,running finger roll layup,9,11,0.8181818181818182
1300,reverse slam dunk,4,5,0.8
1300,driving bank,5,6,0.8333333333333334
1300,pullup bank,5,6,0.8333333333333334
1300,turnaround bank hook,1,2,0.5
1300,putback reverse dunk,1,1,1.0
1400,hook,2037,4459,0.45682888540031397
1400,jump bank,1572,2231,0.7046167637830569
1400,jump,35120,100864,0.34819162436548223
1400,turnaround jump,2337,4336,0.5389760147601476
1400,running dunk,193,201,0.9601990049751243
1400,driving layup,9169,12126,0.75614382318984
1400,running jump,2752,4692,0.5865302642796248
1400,follow up dunk,488,538,0.9070631970260223
1400,dunk,3977,4575,0.8692896174863388
1400,fade away,766,1226,0.6247960848287113
1400,reverse layup,2114,3105,0.6808373590982286
1400,layup,17270,37038,0.4662778767752038
1400,driving dunk,1071,1131,0.946949602122016
1400,tip,1963,3962,0.49545683997980816
1400,driving finger roll,599,785,0.7630573248407644
1400,slam dunk,2500,2547,0.9815469179426777
1400,turnaround hook,364,609,0.5977011494252874
1400,alley oop layup,254,347,0.7319884726224783
1400,running hook,359,603,0.5953565505804311
1400,alley oop dunk,969,1071,0.9047619047619048
1400,running layup,614,944,0.6504237288135594
1400,jump hook,989,1595,0.6200626959247649
1400,tip-in,11,71,0.15492957746478872
